FCLTY_KND,TRGET_FCLTY_NM,RDNMADR,LNMADR,LATITUDE,LONGITUDE,CCTV_YN,CCTV_NUMBER,REFERENCEDATE
초등학교,대전복수초등학교,대전광역시 서구 복수중로34번길 29,,36.3076115000,127.3776520000,Y,3,2022-12-10
초등학교,외삼초등학교,대전 유성구 반석동로 63,,36.3926265000,127.3114377000,Y,1,2022-12-10
초등학교,대전송강초교,대전 유성구 송강로42번길 6,,36.4325440509,127.3842283480,Y,7,2022-12-10
초등학교,새일초교,대전 대덕구 덕암로125번길 15,,36.4317677334,127.4209953380,Y,6,2022-12-10
초등학교,금성초교,대전 유성구 신성로72번길 5,,36.3873289480,127.3508489860,Y,7,2022-12-10
어린이집,LG화학기술연구원어린이집,대전 유성구 가정로 299,,36.3864032507,127.3767160630,Y,1,2022-12-10
초등학교,송림초교,대전 유성구 노은로410번길 123-14,,36.3880590894,127.3327599640,Y,4,2022-12-10
유치원,"산새소리유치원,금샘어린이집",대전 서구 갈마로183번길 41,,36.3384771674,127.3801756540,Y,5,2022-12-10
초등학교,"대전용전초교,재롱이유치원",대전 동구 계족로505번길 49,,36.3555435983,127.4286666770,Y,9,2022-12-10
초등학교,원신흥초교,대전 유성구 원신흥로55번길 37,,36.3401562489,127.3425458060,Y,2,2022-12-10
초등학교,가양초교,대전 동구 가양로 61,,36.3420904856,127.4419844650,Y,6,2022-12-10
초등학교,대전현암초교,대전 동구 현암로 19,,36.3424532356,127.4187653000,Y,6,2022-12-10
초등학교,장대초교,대전 유성구 문화원로19번길 16,,36.3609103670,127.3391603170,Y,4,2022-12-10
유치원,정원유치원,대전 유성구 덕명동로16번길 77,,36.3578519313,127.3131234470,Y,1,2022-12-10
초등학교,대전대화초교,대전 대덕구 대화로 242-36,,36.3638586785,127.4105797190,Y,6,2022-12-10
초등학교,대전문정초교,대전 서구 문정로 180,,36.3512745229,127.3942780360,Y,5,2022-12-10
초등학교,봉암초교,대전 유성구 궁동로 21,,36.3628487361,127.3485504340,Y,5,2022-12-10
초등학교,학하초교,대전 유성구 진잠옛로 165,,36.3351445865,127.3128885510,Y,2,2022-12-10
초등학교,유성초교,대전 유성구 장대로71번길 12,,36.3589576561,127.3334077790,Y,6,2022-12-10
초등학교,"노은초교,은정유치원",대전 유성구 노은동로99번길 35,,36.3684620254,127.3212115440,Y,5,2022-12-10
유치원,하이켐유치원,대전 서구 계룡로325번길 16,,36.3547230227,127.3654396200,Y,5,2022-12-10
유치원,한울유치원,대전 유성구 가정로 43,,36.3867440563,127.3475470520,N,0,2022-12-10
초등학교,대전대양초교,대전 대덕구 송촌로 67,,36.3607146410,127.4401562500,Y,7,2022-12-10
유치원,성모유치원,대전 동구 동서대로1692번길 64,,36.3462482234,127.4387946450,Y,5,2022-12-10
어린이집,"깨비나라어린이집,별나라어린이집,시립어린이집",대전 서구 신갈마로195번길 51,,36.3510781601,127.3662513390,Y,8,2022-12-10
유치원,"폴스유치원,송촌유치원,대전매봉초교,피노키오유치원,",대전 대덕구 선비마을로 155,,36.3682395397,127.4351619510,Y,16,2022-12-10
유치원,"노은유치원,수정초교,수정초교병설유치원",대전 유성구 노은서로 62,,36.3668924237,127.3149253850,Y,5,2022-12-10
초등학교,덕송초교,대전 유성구 현충원로 265,,36.3585965307,127.3015070460,Y,7,2022-12-10
초등학교,대전백운초교,대전 서구 계룡로576번길 56,,36.3399165594,127.3860174360,Y,4,2022-12-10
초등학교,갑천초교,대전 서구 월평동로 61,,36.3598429024,127.3675720070,Y,3,2022-12-10
초등학교,대전상원초교,대전 유성구 상대서로 46,,36.3429793552,127.3335210710,Y,2,2022-12-10
초등학교,대전탄방초교,대전 서구 탄방로 15,,36.3455131238,127.3901597630,Y,6,2022-12-10
유치원,아이미래유치원,대전 서구 계룡로394번길 9,,36.3504753991,127.3710385300,Y,2,2022-12-10
초등학교,흥룡초교,대전 동구 동대전로256번길 21,,36.3443830668,127.4492718860,Y,6,2022-12-10
유치원,평화유치원,대전 서구 월평중로13번길 53,,36.3553060279,127.3600711310,Y,2,2022-12-10
초등학교,대전화정초교,대전 대덕구 한밭대로1024번길 20,,36.3554457440,127.4124281860,Y,9,2022-12-10
어린이집,사이언스어린이집,대전 유성구 과학로 200,,36.3817545414,127.3555108970,Y,1,2022-12-10
초등학교,"신탄진초교,대전이문고교",대전 대덕구 석봉로3번길 50,,36.4481911678,127.4229387170,Y,8,2022-12-10
유치원,"우송유치원,늘사랑어린이집",대전 동구 동대전로 171,,36.3394000100,127.4456735660,Y,2,2022-12-10
유치원,침신유치원,대전 유성구 북유성대로 190,,36.3838248785,127.3229021950,Y,1,2022-12-10
어린이집,메리힐어린이집,대전 유성구 대덕대로925번길 26-9,,36.4124663680,127.3767313690,Y,1,2022-12-10
초등학교,"대전석봉초교,신탄진어린이집",대전 대덕구 신탄진남로 20,,36.4480675496,127.4335952970,Y,12,2022-12-10
