manageNo,mgcNm,cctvNm,lnmAdres,rdnmadr,lon,lat
28.(교통 03) 대성삼거리,동구청,교통관제용,동구 대성동 224-8,,127.4604078,36.2959681
24.(교통 03) 삼성네거리,동구청,교통관제용,동구 삼성동 295-12,,127.4296114,36.3381639
25.(교통 93) 대전역네거리,동구청,교통관제용,동구 정동 1,,127.4326508,36.3312518
19.(교통 93) 동부네거리,동구청,교통관제용,동구 가양동 424-1,,127.4423086,36.3511321
21.(교통 93) 삼성성당네거리,동구청,교통관제용,동구 삼성동 361-2,,127.4209654,36.3406303
23.(교통 93) 성남네거리,동구청,교통관제용,동구 성남동 56-7,,127.4360885,36.3407262
20.(교통 93) 용전네거리,동구청,교통관제용,동구 홍도동 9-4,,127.4319172,36.3474016
22.(교통 96) 대동오거리,동구청,교통관제용,동구 대동 180-18,,127.4432097,36.3294968
26.(교통 96) 원동네거리,동구청,교통관제용,동구 인동 10-1,,127.4351772,36.3266606
39.(교통 03) 동서로네거리,중구청,교통관제용,중구 용두동 119-7,,127.4050944,36.3286646
33.(교통 03) 충대병원네거리,중구청,교통관제용,중구 대사동 248-229,,127.4175172,36.3182445
32.(교통 93) 대고오거리,중구청,교통관제용,중구 대흥동 451-5,,127.4230217,36.3224918
1.(교통 93) 대종로네거리,중구청,교통관제용,중구 선화동 152-1,,127.4195662,36.3335987
31.(교통 93) 성모병원오거리,중구청,교통관제용,중구 대흥동 502-15,,127.4202871,36.3241609
38.(교통 93) 예술가의집네거리,중구청,교통관제용,중구 대흥동 532-15,,127.4168504,36.3229323
30.(교통 93) 중구청네거리,중구청,교통관제용,중구 대흥동 630,,127.4217534,36.326969
29.(교통 93) 중앙로네거리,중구청,교통관제용,중구 은행동 216,,127.425927,36.3287755
2.(교통 93) 중촌네거리,중구청,교통관제용,중구 중촌동 391-3,,127.4160559,36.3366279
37.(교통 95) 서대전네거리,중구청,교통관제용,중구 문화동 1-18,,127.4125159,36.3223272
27.(교통 97) 부사네거리,중구청,교통관제용,중구 부사동 151-1,,127.4348096,36.3130913
40.(교통 97) 태평오거리,중구청,교통관제용,중구 태평동 381-16,,127.3949789,36.3256579
35.(교통 03) 가수원네거리,서구청,교통관제용,서구 가수원동 764-1,,127.3531206,36.3049712
41.(교통 03) 가장교오거리,서구청,교통관제용,서구 가장동 202,,127.3886204,36.3279866
44.(교통 03) 가장네거리,서구청,교통관제용,서구 내동 5,,127.3842117,36.3313373
50.(교통 03) 갑천대교네거리,서구청,교통관제용,서구 월평동 216-3,,127.3599456,36.3587428
42.(교통 03) 변동오거리,서구청,교통관제용,서구 변동 12-56,,127.3813564,36.3285567
34.(교통 03) 불티구름다리,서구청,교통관제용,서구 정림동 산 30-2,,127.3689267,36.3091541
4.(교통 03) 삼천교네거리,서구청,교통관제용,서구 둔산동 2144,,127.4017292,36.3490127
43.(교통 03) 안골네거리,서구청,교통관제용,서구 내동 167,,127.3718917,36.333735
9.(교통 03) 평송수련원삼거리,서구청,교통관제용,서구 만년동 439,,127.39357,36.3646304
11.(교통 04) 엑스포지하차도,서구청,교통관제용,서구 만년동 606,,127.3836269,36.3708942
1007.(교통 15) 관저네거리,서구청,교통관제용,서구 관저동 530-5,,127.334689,36.301786
1008.(교통 15) 금성골네거리,서구청,교통관제용,서구 관저동 44,,127.3407737,36.3077983
1006.(교통 15) 도안중네거리,서구청,교통관제용,서구 도안동 168,,127.3479636,36.3174503
7.(교통 93) 만년네거리,서구청,교통관제용,서구 만년동 418,,127.3796192,36.3650499
6.(교통 93) 선사유적네거리,서구청,교통관제용,서구 월평동 1505,,127.3793765,36.359876
45.(교통 93) 용문네거리,서구청,교통관제용,서구 용문동 257-1,,127.3932582,36.3381987
5.(교통 93) 큰마을네거리,서구청,교통관제용,서구 둔산동 1535,,127.3769202,36.3488025
3.(교통 96) 남선공원네거리,서구청,교통관제용,서구 용문동 588,,127.401855,36.344828
36.(교통 96) 도마네거리,서구청,교통관제용,서구 도마동 174-6,,127.3801097,36.3129163
10.(교통 99) 모정네거리,서구청,교통관제용,서구 둔산동 912,,127.3904231,36.3578092
49.(교통 03) 궁동네거리,유성구청,교통관제용,유성구 장대동 335-1,,127.3379588,36.3641398
52.(교통 03) 신구교네거리,유성구청,교통관제용,유성구 봉산동 170-2,,127.3916134,36.4362755
