번호,사고번호,발생일시,사상자수,사고유형,도로형태,가해운전자연령,가해운전자성별,피해자연령,피해자성별,위도,경도,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,기준일자
1,2017010000000000.00 ,2017-01-01 17:00,1,차대사람 - 횡단중,교차로 - 교차로안,80세,남,8세,남,984157,1819127,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동,2017-01-01
2,2017010000000000.00 ,2017-01-01 20:00,1,차대차 - 추돌,단일로 - 기타,31세,여,55세,여,986366,1816944,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동,2017-01-01
3,2017010000000000.00 ,2017-01-02 11:00,1,차대차 - 추돌,단일로 - 기타,45세,남,33세,여,989065,1824436,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동,2017-01-02
4,2017010000000000.00 ,2017-01-02 14:00,1,차대차 - 기타,교차로 - 교차로안,24세,남,61세,여,983228,1821700,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동,2017-01-02
5,2017010000000000.00 ,2017-01-02 19:00,2,차대차 - 추돌,단일로 - 기타,31세,여,40세,남,989027,1823670,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013000,화암동,2017-01-02
6,2017010000000000.00 ,2017-01-02 22:00,1,차대차 - 기타,단일로 - 기타,50세,남,35세,남,986160,1817758,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2017-01-02
7,2017010000000000.00 ,2017-01-02 22:00,2,차대차 - 추돌,교차로 - 교차로부근,43세,남,54세,여,986225,1820780,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012500,신성동,2017-01-02
8,2017010000000000.00 ,2017-01-03 07:00,1,차대차 - 추돌,단일로 - 기타,52세,남,51세,여,982563,1818231,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2017-01-03
9,2017010000000000.00 ,2017-01-03 14:00,1,차대차 - 측면충돌,교차로 - 교차로안,49세,여,47세,남,985666,1817001,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2017-01-03
10,2017010000000000.00 ,2017-01-03 17:00,1,차대차 - 기타,교차로 - 교차로부근,61세,여,55세,남,984309,1819941,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동,2017-01-03
11,2017010000000000.00 ,2017-01-03 18:00,1,차대사람 - 기타,단일로 - 기타,56세,남,46세,남,991268,1822439,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,2017-01-03
12,2017010000000000.00 ,2017-01-03 22:00,1,차대사람 - 횡단중,단일로 - 기타,42세,남,28세,여,986685,1817866,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2017-01-03
13,2017010000000000.00 ,2017-01-04 15:00,1,차대사람 - 기타,단일로 - 기타,50세,남,1세,남,990841,1822583,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,2017-01-04
14,2017010000000000.00 ,2017-01-04 18:00,1,차대사람 - 횡단중,단일로 - 기타,43세,남,37세,남,983873,1819733,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동,2017-01-04
15,2017010000000000.00 ,2017-01-05 00:00,1,차대사람 - 횡단중,단일로 - 기타,43세,남,53세,남,985895,1817438,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2017-01-05
16,2017010000000000.00 ,2017-01-05 02:00,3,차대차 - 측면충돌,교차로 - 교차로안,54세,남,63세,남,984056,1811398,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동,2017-01-05
17,2017010000000000.00 ,2017-01-05 07:00,1,차대사람 - 횡단중,교차로 - 교차로안,52세,여,56세,남,985088,1817616,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동,2017-01-05
18,2017010000000000.00 ,2017-01-05 07:00,1,차대차 - 추돌,기타 - 기타,42세,남,49세,남,983888,1818690,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동,2017-01-05
19,2017010000000000.00 ,2017-01-05 12:00,7,차대차 - 기타,단일로 - 기타,72세,남,33세,남,985460,1818494,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020011700,장대동,2017-01-05
20,2017010000000000.00 ,2017-01-05 20:00,1,차대차 - 추돌,단일로 - 기타,46세,남,49세,여,989061,1824141,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013000,화암동,2017-01-05
21,2017010000000000.00 ,2017-01-06 10:00,1,차대사람 - 횡단중,교차로 - 교차로부근,60세,남,13세,여,991457,1822451,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014100,전민동,2017-01-06
22,2017010000000000.00 ,2017-01-06 13:00,2,차대차 - 측면충돌,교차로 - 교차로안,47세,남,66세,남,991669,1824985,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014400,용산동,2017-01-06
23,2017010000000000.00 ,2017-01-06 16:00,6,차대차 - 추돌,단일로 - 기타,51세,남,46세,남,989052,1824329,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020013000,화암동,2017-01-06
24,2017010000000000.00 ,2017-01-06 17:00,2,차대차 - 기타,교차로 - 교차로안,57세,남,30세,남,985070,1817355,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011200,구암동,2017-01-06
25,2017010000000000.00 ,2017-01-07 03:00,1,차대차 - 추돌,단일로 - 기타,50세,남,30세,남,983122,1822063,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동,2017-01-07
